Dyad_ID,partnum,gender_A,gender_AF,self_object_A,other_object_A,relation_sat_A,self_object_P,other_object_P,relation_sat_P
27311279,2,-1,woman,-2.6,-4.2,9,0.199999999999999,-2.2,NA
27511978,1,-1,woman,0.199999999999999,1,8.9,-0.199999999999999,0.199999999999999,9
27511978,2,1,man,-0.199999999999999,0.199999999999999,9,0.199999999999999,1,8.9
28021760,1,-1,woman,1.4,-0.199999999999999,7.6,-1.4,2.2,8.1
28021760,2,1,man,-1.4,2.2,8.1,1.4,-0.199999999999999,7.6
28947773,1,1,man,-0.199999999999999,2.2,8,1,0.199999999999999,8.4
28947773,2,-1,woman,1,0.199999999999999,8.4,-0.199999999999999,2.2,8
28992200,1,1,man,-1.4,2.2,6.2,1,-4.6,5.4
28992200,2,-1,woman,1,-4.6,5.4,-1.4,2.2,6.2
28992252,1,1,man,-1.8,-1.4,7.3,-1,-5,NA
28992252,2,-1,woman,-1,-5,NA,-1.8,-1.4,7.3
28993415,1,-1,woman,-1.8,-0.6,8.5,NA,NA,7.1
28993415,2,1,man,NA,NA,7.1,-1.8,-0.6,8.5
29008274,1,-1,woman,-0.6,1.4,5.4,-4.2,2.2,NA
29008274,2,1,man,-4.2,2.2,NA,-0.6,1.4,5.4
29008631,1,1,man,-3,0.199999999999999,8.5,1,-0.199999999999999,8.5
29008631,2,-1,woman,1,-0.199999999999999,8.5,-3,0.199999999999999,8.5
29014377,1,-1,woman,1.8,-3.4,7.5,-1,0.6,8.4
29014377,2,1,man,-1,0.6,8.4,1.8,-3.4,7.5
29027911,1,1,man,-0.6,-1.4,9,-1.4,-2.2,8.8
29027911,2,-1,woman,-1.4,-2.2,8.8,-0.6,-1.4,9
29029182,1,-1,woman,-5,-5,9,-4.2,-3.4,8.3
29029182,2,1,man,-4.2,-3.4,8.3,-5,-5,9
29070034,1,1,man,-5,-2.6,7.8,-3,-1,8.2
29070034,2,-1,woman,-3,-1,8.2,-5,-2.6,7.8
29077358,1,-1,woman,-3.8,-4.2,8.5,-1.4,0.199999999999999,8.4
29077358,2,1,man,-1.4,0.199999999999999,8.4,-3.8,-4.2,8.5
29080875,1,1,man,-3.8,-1,7.4,1.4,-2.2,7
29080875,2,-1,woman,1.4,-2.2,7,-3.8,-1,7.4
29083526,1,-1,woman,1.8,-2.6,6.2,-4.6,1,7.3
29083526,2,1,man,-4.6,1,7.3,1.8,-2.6,6.2
29090161,1,-1,woman,0.6,-4.2,7.8,-5,-5,8.1
29090161,2,1,man,-5,-5,8.1,0.6,-4.2,7.8
29108175,1,1,man,-2.6,-2.6,7.3,-1.8,-2.2,7.7
29108175,2,-1,woman,-1.8,-2.2,7.7,-2.6,-2.6,7.3
29113070,1,-1,woman,-2.6,-5,NA,-5,-3.4,8.5
29113070,2,1,man,-5,-3.4,8.5,-2.6,-5,NA
29120878,1,-1,woman,-2.2,-1.8,7.2,-2.6,3.4,9
29120878,2,1,man,-2.6,3.4,9,-2.2,-1.8,7.2
29169727,1,-1,woman,2.6,-1.4,7.4,0.6,-1,8.2
29169727,2,1,man,0.6,-1,8.2,2.6,-1.4,7.4
29169849,1,-1,woman,-2.6,0.6,8.1,-1.4,1.4,8.1
29169849,2,1,man,-1.4,1.4,8.1,-2.6,0.6,8.1
29186653,1,-1,woman,-1.4,3.4,8.4,0.6,3,8.9
29186653,2,1,man,0.6,3,8.9,-1.4,3.4,8.4
29187228,1,-1,woman,0.199999999999999,-1.8,7.2,2.2,3.4,7.7
29187228,2,1,man,2.2,3.4,7.7,0.199999999999999,-1.8,7.2
29196654,1,-1,woman,-2.6,-2.6,9,-1.8,1.4,8.6
29196654,2,1,man,-1.8,1.4,8.6,-2.6,-2.6,9
29226842,1,-1,woman,-0.6,-2.2,9,-5,-5,9
29226842,2,1,man,-5,-5,9,-0.6,-2.2,9
29237405,1,-1,woman,-1.8,-1.8,7.1,-4.6,-1,7.4
29237405,2,1,man,-4.6,-1,7.4,-1.8,-1.8,7.1
29251840,1,-1,woman,1.8,-1.4,5.9,-0.199999999999999,0.199999999999999,NA
29251840,2,1,man,-0.199999999999999,0.199999999999999,NA,1.8,-1.4,5.9
29258147,1,-1,woman,-1.8,-4.6,7.8,-4.2,-3.4,8.1
29258147,2,1,man,-4.2,-3.4,8.1,-1.8,-4.6,7.8
29273612,1,-1,woman,-2.2,0.6,8.8,-1.8,2.2,8.6
29273612,2,1,man,-1.8,2.2,8.6,-2.2,0.6,8.8
29273822,1,1,man,-3.4,-3,6.3,-3,0.199999999999999,6.8
29273822,2,-1,woman,-3,0.199999999999999,6.8,-3.4,-3,6.3
29275282,1,-1,woman,-5,-0.199999999999999,8.6,-3.4,-1,5.3
29275282,2,1,man,-3.4,-1,5.3,-5,-0.199999999999999,8.6
29276238,1,-1,woman,-3,-1,7.5,-3,-0.6,8.4
29276238,2,1,man,-3,-0.6,8.4,-3,-1,7.5
29281726,1,-1,woman,-0.199999999999999,3.8,9,-1.8,-1.4,8
29281726,2,1,man,-1.8,-1.4,8,-0.199999999999999,3.8,9
29291479,1,-1,woman,0.199999999999999,-1.4,5.6,-3.4,2.6,8.5
29291479,2,1,man,-3.4,2.6,8.5,0.199999999999999,-1.4,5.6
29302703,1,-1,woman,2.2,-3,4.5,-3,3,6.6
29302703,2,1,man,-3,3,6.6,2.2,-3,4.5
29319965,1,-1,woman,-3,-4.2,6.2,-2.6,1.4,7
29319965,2,1,man,-2.6,1.4,7,-3,-4.2,6.2
29322606,1,-1,woman,-5,-3,8.9,-3.8,-1,9
29322606,2,1,man,-3.8,-1,9,-5,-3,8.9
29346027,1,-1,woman,-3,-3.8,6.1,-4.6,-1,6.9
29346027,2,1,man,-4.6,-1,6.9,-3,-3.8,6.1
29356648,1,-1,woman,1,-1,9,-1,-1,9
29356648,2,1,man,-1,-1,9,1,-1,9
