"","dyadID","gender","self_object_appearance","self_object_ability","other_object_appearance","other_object_ability","self_object.tavg","other_object.tavg","relation_qual.avg"
"86",27311279,-1,6.8,4.2,7.6,3.4,-2.6,-4.2,9
"87",27511978,-1,5.4,5.6,5,6,0.199999999999999,1,8.9
"88",27511978,1,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,9
"89",28021760,-1,4.8,6.2,5.6,5.4,1.4,-0.199999999999999,7.6
"90",28021760,1,6.2,4.8,4.4,6.6,-1.4,2.2,8.1
"91",28947773,1,5.6,5.4,4.4,6.6,-0.199999999999999,2.2,8
"92",28947773,-1,5,6,5.4,5.6,1,0.199999999999999,8.4
"93",28992200,1,6.2,4.8,4.4,6.6,-1.4,2.2,6.2
"94",28992200,-1,5,6,7.8,3.2,1,-4.6,5.4
"95",28992252,1,6.4,4.6,6.2,4.8,-1.8,-1.4,7.3
"96",28992252,-1,6,5,8,3,-1,-5,NA
"97",28993415,-1,6.4,4.6,5.8,5.2,-1.8,-0.6,8.5
"98",28993415,1,NA,NA,NA,NA,NA,NA,7.1
"99",29008274,-1,5.8,5.2,4.8,6.2,-0.6,1.4,5.4
"100",29008274,1,7.6,3.4,4.4,6.6,-4.2,2.2,NA
"101",29008631,1,7,4,5.4,5.6,-3,0.199999999999999,8.5
"102",29008631,-1,5,6,5.6,5.4,1,-0.199999999999999,8.5
"103",29014377,-1,4.6,6.4,7.2,3.8,1.8,-3.4,7.5
"104",29014377,1,6,5,5.2,5.8,-1,0.6,8.4
"105",29027911,1,5.8,5.2,6.2,4.8,-0.6,-1.4,9
"106",29027911,-1,6.2,4.8,6.6,4.4,-1.4,-2.2,8.8
"107",29029182,-1,8,3,8,3,-5,-5,9
"108",29029182,1,7.6,3.4,7.2,3.8,-4.2,-3.4,8.3
"109",29070034,1,8,3,6.8,4.2,-5,-2.6,7.8
"110",29070034,-1,7,4,6,5,-3,-1,8.2
"111",29077358,-1,7.4,3.6,7.6,3.4,-3.8,-4.2,8.5
"112",29077358,1,6.2,4.8,5.4,5.6,-1.4,0.199999999999999,8.4
"113",29080875,1,7.4,3.6,6,5,-3.8,-1,7.4
"114",29080875,-1,4.8,6.2,6.6,4.4,1.4,-2.2,7
"115",29083526,-1,4.6,6.4,6.8,4.2,1.8,-2.6,6.2
"116",29083526,1,7.8,3.2,5,6,-4.6,1,7.3
"117",29090161,-1,5.2,5.8,7.6,3.4,0.6,-4.2,7.8
"118",29090161,1,8,3,8,3,-5,-5,8.1
"119",29108175,1,6.8,4.2,6.8,4.2,-2.6,-2.6,7.3
"120",29108175,-1,6.4,4.6,6.6,4.4,-1.8,-2.2,7.7
"121",29113070,-1,6.8,4.2,8,3,-2.6,-5,NA
"122",29113070,1,8,3,7.2,3.8,-5,-3.4,8.5
"123",29120878,-1,6.6,4.4,6.4,4.6,-2.2,-1.8,7.2
"124",29120878,1,6.8,4.2,3.8,7.2,-2.6,3.4,9
"125",29169727,-1,4.2,6.8,6.2,4.8,2.6,-1.4,7.4
"126",29169727,1,5.2,5.8,6,5,0.6,-1,8.2
"127",29169849,-1,6.8,4.2,5.2,5.8,-2.6,0.6,8.1
"128",29169849,1,6.2,4.8,4.8,6.2,-1.4,1.4,8.1
"129",29186653,-1,6.2,4.8,3.8,7.2,-1.4,3.4,8.4
"130",29186653,1,5.2,5.8,4,7,0.6,3,8.9
"131",29187228,-1,5.4,5.6,6.4,4.6,0.199999999999999,-1.8,7.2
"132",29187228,1,4.4,6.6,3.8,7.2,2.2,3.4,7.7
"133",29196654,-1,6.8,4.2,6.8,4.2,-2.6,-2.6,9
"134",29196654,1,6.4,4.6,4.8,6.2,-1.8,1.4,8.6
"135",29226842,-1,5.8,5.2,6.6,4.4,-0.6,-2.2,9
"136",29226842,1,8,3,8,3,-5,-5,9
"137",29237405,-1,6.4,4.6,6.4,4.6,-1.8,-1.8,7.1
"138",29237405,1,7.8,3.2,6,5,-4.6,-1,7.4
"139",29251840,-1,4.6,6.4,6.2,4.8,1.8,-1.4,5.9
"140",29251840,1,5.6,5.4,5.4,5.6,-0.199999999999999,0.199999999999999,NA
"141",29258147,-1,6.4,4.6,7.8,3.2,-1.8,-4.6,7.8
"142",29258147,1,7.6,3.4,7.2,3.8,-4.2,-3.4,8.1
"143",29273612,-1,6.6,4.4,5.2,5.8,-2.2,0.6,8.8
"144",29273612,1,6.4,4.6,4.4,6.6,-1.8,2.2,8.6
"145",29273822,1,7.2,3.8,7,4,-3.4,-3,6.3
"146",29273822,-1,7,4,5.4,5.6,-3,0.199999999999999,6.8
"147",29275282,-1,8,3,5.6,5.4,-5,-0.199999999999999,8.6
"148",29275282,1,7.2,3.8,6,5,-3.4,-1,5.3
"149",29276238,-1,7,4,6,5,-3,-1,7.5
"150",29276238,1,7,4,5.8,5.2,-3,-0.6,8.4
"151",29281726,-1,5.6,5.4,3.6,7.4,-0.199999999999999,3.8,9
"152",29281726,1,6.4,4.6,6.2,4.8,-1.8,-1.4,8
"153",29291479,-1,5.4,5.6,6.2,4.8,0.199999999999999,-1.4,5.6
"154",29291479,1,7.2,3.8,4.2,6.8,-3.4,2.6,8.5
"155",29302703,-1,4.4,6.6,7,4,2.2,-3,4.5
"156",29302703,1,7,4,4,7,-3,3,6.6
"157",29319965,-1,7,4,7.6,3.4,-3,-4.2,6.2
"158",29319965,1,6.8,4.2,4.8,6.2,-2.6,1.4,7
"159",29322606,-1,8,3,7,4,-5,-3,8.9
"160",29322606,1,7.4,3.6,6,5,-3.8,-1,9
"161",29346027,-1,7,4,7.4,3.6,-3,-3.8,6.1
"162",29346027,1,7.8,3.2,6,5,-4.6,-1,6.9
"163",29356648,-1,5,6,6,5,1,-1,9
"164",29356648,1,6,5,6,5,-1,-1,9
"165",29358468,-1,7.2,3.8,7.2,3.8,-3.4,-3.4,7.2
"166",29358468,1,7.2,3.8,5.4,5.6,-3.4,0.199999999999999,8.4
"167",29398891,1,7,4,4.8,6.2,-3,1.4,8.6
"168",29398891,-1,5.2,5.8,4.2,6.8,0.6,2.6,8.7
"169",29434095,-1,5.4,5.6,5.8,5.2,0.199999999999999,-0.6,NA
"170",29434095,1,5,6,6.6,4.4,1,-2.2,NA
"171",29447526,1,6.8,4.2,5.8,5.2,-2.6,-0.6,8
"172",29447526,-1,6.4,4.6,5.2,5.8,-1.8,0.6,8.2
"173",29457967,-1,5.8,5.2,7.2,3.8,-0.6,-3.4,5.8
"174",29457967,1,5.8,5.2,7.6,3.4,-0.6,-4.2,7.9
"175",29459354,-1,8,3,8,3,-5,-5,NA
"176",29459354,1,7.2,3.8,8,3,-3.4,-5,8
"177",29469928,-1,6.6,4.4,6.6,4.4,-2.2,-2.2,8.6
"178",29469928,1,7.8,3.2,7.2,3.8,-4.6,-3.4,8.4
"179",29472035,-1,4.4,6.6,4.8,6.2,2.2,1.4,6.2
"180",29472035,1,4.8,6.2,4.4,6.6,1.4,2.2,5.7
"181",29486374,-1,7,4,7.2,3.8,-3,-3.4,6.3
"182",29486374,1,NA,NA,5.8,5.2,NA,-0.6,6.4
"183",29493026,-1,5,6,6.6,4.4,1,-2.2,7.9
"184",29493026,1,6.8,4.2,5.8,5.2,-2.6,-0.6,7.5
"185",29508533,-1,6,5,4.2,6.8,-1,2.6,5.5
"186",29508533,1,6,5,5.2,5.8,-1,0.6,NA
"187",29526900,-1,7.2,3.8,7,4,-3.4,-3,8.5
"188",29526900,1,7.2,3.8,7,4,-3.4,-3,8.6
"189",29532872,-1,4,7,4.4,6.6,3,2.2,7.4
"190",29532872,1,5.2,5.8,5.2,5.8,0.6,0.6,9
"191",29536578,-1,7.2,3.8,6.8,4.2,-3.4,-2.6,3.5
"192",29536578,1,7.4,3.6,5.4,5.6,-3.8,0.199999999999999,5.1
"193",29559028,-1,5.2,5.8,5.4,5.6,0.6,0.199999999999999,6.6
"194",29559028,1,5,6,4.8,6.2,1,1.4,6.3
"195",29577345,-1,6,5,7.2,3.8,-1,-3.4,8.4
"196",29577345,1,6,5,5.2,5.8,-1,0.6,8.6
"197",29579556,-1,3.8,7.2,6,5,3.4,-1,8.4
"198",29579556,1,6.2,4.8,5.8,5.2,-1.4,-0.6,8.6
"199",29597452,-1,4,7,6.2,4.8,3,-1.4,8
"200",29597452,1,4,7,3,8,3,5,8.1
"201",29601472,-1,6.2,4.8,7.8,3.2,-1.4,-4.6,8.8
"202",29601472,1,8,3,5,6,-5,1,8.6
"203",29622262,-1,5.4,5.6,4.8,6.2,0.199999999999999,1.4,9
"204",29622262,1,5.2,5.8,5.2,5.8,0.6,0.6,9
"205",29636672,-1,5.6,5.4,7,4,-0.199999999999999,-3,8.1
"206",29636672,1,7,4,7,4,-3,-3,8.3
"207",29647555,-1,7.4,3.6,7,4,-3.8,-3,2.9
"208",29647555,1,8,3,6.6,4.4,-5,-2.2,4.1
"209",29648648,-1,4.4,6.6,6.2,4.8,2.2,-1.4,5
"210",29648648,1,4.2,6.8,5.2,5.8,2.6,0.6,5.1
"211",29650679,-1,5.4,5.6,5.6,5.4,0.199999999999999,-0.199999999999999,8.2
"212",29650679,1,5.4,5.6,4.8,6.2,0.199999999999999,1.4,8.2
"213",29655905,-1,5.6,5.4,6.2,4.8,-0.199999999999999,-1.4,8.8
"214",29655905,1,5.4,5.6,5.4,5.6,0.199999999999999,0.199999999999999,8.4
"215",29670187,-1,6.8,4.2,4.8,6.2,-2.6,1.4,8.4
"216",29670187,1,4.2,6.8,6.4,4.6,2.6,-1.8,9
"217",29675494,1,6.8,4.2,6.8,4.2,-2.6,-2.6,6.1
"218",29675494,-1,7.8,3.2,8,3,-4.6,-5,6.4
